"title","author","category","faculty","department","course","description","keywords","language","publication_year","file_path","source_url","license","license_url","status"
"U.S. History","OpenStax","History","Faculty of Economics, Social Sciences and Management","History","U.S. History I","American history from European exploration through Reconstruction period","history;United States;colonial;civil war;reconstruction","English","2022","books/US_History_Volume_1.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/US_History_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"World History, Volume 2: from 1400","OpenStax Contributors","History","Faculty of Economics, Social Sciences and Management","Applied Economics","World History","OpenStax world history textbook covering global history from approximately 1400 onward.","world history;humanities;global history;modern history","English","2023","books/World_History_Volume_2.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/World_History_Volume_2-WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Physics 2e","OpenStax","Physics","Faculty of Sciences and Information Technology","Physics","University Physics","Comprehensive physics textbook covering mechanics through modern physics","physics;mechanics;thermodynamics;waves;optics","English","2023","books/Physics_2e.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/Physics-WEB_Sab7RrQ.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Chemistry 2e","OpenStax","Chemistry","Faculty of Sciences and Information Technology","Chemistry","General Chemistry II","Two-semester general chemistry covering atoms, molecules, bonding, and reactions","chemistry;atoms;molecules;bonding;reactions","English","2022","books/Chemistry_2e.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/chemistry-2e_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Biology 2e","OpenStax","Biology","Faculty of Sciences and Information Technology","Biology","General Biology II","Two-semester biology covering organisms, ecology, and evolution","biology;organisms;ecology;evolution;genetics","English","2023","books/Biology_2e.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/Biology2e-WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Astronomy 2e","OpenStax Contributors","Science","Faculty of Sciences and Information Technology","Computer Science","Astronomy","OpenStax astronomy textbook introducing stars, galaxies, planets, and cosmology.","astronomy;science;stars;planets;cosmology","English","2022","books/Astronomy_2e.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/astronomy-2e_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Anatomy and Physiology","OpenStax","Biology","Faculty of Health Sciences","Nursing","Anatomy and Physiology","Comprehensive human anatomy and physiology for health sciences","anatomy;physiology;systems;homeostasis;disease","English","2022","books/Anatomy_Physiology.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/AnatomyandPhysiology-OP.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Introductory Sociology 3e","OpenStax","Sociology","Faculty of Economics, Social Sciences and Management","Sociology","Introduction to Sociology","Introduction to sociology covering society, culture, and social institutions","sociology;society;culture;institutions;social structure","English","2023","books/Introductory_Sociology_3e.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/introduction-sociology-3e_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Principles of Management","OpenStax","Business","Faculty of Economics, Social Sciences and Management","Business Administration","Management","Management theory and practice covering planning, organizing, leading, and controlling","management;planning;organizing;leadership;control","English","2022","books/Principles_Management.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/principles-management_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Principles of Finance","OpenStax","Finance","Faculty of Economics, Social Sciences and Management","Finance","Finance Fundamentals","Finance basics including investments, capital structure, and valuation","finance;investments;valuation;capital structure;risk","English","2022","books/Principles_Finance.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/principles-finance_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Mathematics for Computer Science","MIT OpenCourseWare","Computer Science","Faculty of Sciences and Information Technology","Computer Science","Discrete Mathematics","Mathematics foundations for computer science including logic, proofs, and graph theory","discrete mathematics;logic;proofs;graphs;combinatorics","English","2015","books/Mathematics_Computer_Science.pdf","https://ocw.mit.edu/courses/6-042j-mathematics-for-computer-science-spring-2015/mit6_042js15_textbook.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Calculus Volume 1","OpenStax Contributors","Mathematics","Faculty of Sciences and Information Technology","Computer Science","Calculus","OpenStax calculus textbook covering limits, derivatives, and integrals.","calculus;mathematics;derivatives;integrals","English","2023","books/Calculus_Volume_1.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/calculus-volume-1_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Calculus Volume 2","OpenStax Contributors","Mathematics","Faculty of Sciences and Information Technology","Computer Science","Calculus","OpenStax calculus textbook covering integration techniques, sequences, and series.","calculus;mathematics;series;integration","English","2023","books/Calculus_Volume_2.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/calculus-volume-2_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Calculus Full Textbook","Gilbert Strang","Mathematics","Faculty of Sciences and Information Technology","Mathematics","Calculus","Comprehensive calculus textbook covering limits, derivatives, integrals, and series","calculus;derivatives;integrals;limits;applications","English","2023","books/Calculus_Full_Textbook.pdf","https://ocw.mit.edu/courses/res-18-001-calculus-fall-2023/mitres_18_001_f17_full_book.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Additive Manufacturing Essentials","OpenStax Contributors","Engineering","Faculty of Engineering and Technology","Civil Engineering","Manufacturing","OpenStax textbook introducing additive manufacturing technologies and applications.","engineering;manufacturing;3d printing;additive manufacturing","English","2025","books/Additive_Manufacturing_Essentials.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/Additive_Manufacturing_Essentials_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Precalculus 2e","OpenStax","Mathematics","Faculty of Sciences and Information Technology","Mathematics","Precalculus","Trigonometry and advanced algebra for precalculus course","trigonometry;functions;complex numbers;sequences;applications","English","2023","books/Precalculus_2e.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/precalculus-2e_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Principles of Accounting Volume 1: Financial Accounting","OpenStax","Accounting","Faculty of Economics, Social Sciences and Management","Accounting","Financial Accounting","Financial accounting principles covering financial statements and accounting concepts","accounting;financial statements;assets;liabilities;equity","English","2022","books/Principles_Accounting_Vol_1.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/principles-financial-accounting_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Principles of Accounting Volume 2: Managerial Accounting","OpenStax","Accounting","Faculty of Economics, Social Sciences and Management","Accounting","Managerial Accounting","Managerial accounting for decision-making covering cost analysis and budgeting","accounting;cost accounting;budgeting;variance analysis;decision making","English","2022","books/Principles_Accounting_Vol_2.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/principles-managerial-accounting_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Elementary Algebra 2e","OpenStax","Mathematics","Faculty of Sciences and Information Technology","Mathematics","Elementary Algebra","Basic algebra covering operations, equations, and problem solving","algebra;equations;operations;variables;problem solving","English","2023","books/Elementary_Algebra_2e.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/elementary-algebra-2e_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Intermediate Algebra 2e","OpenStax","Mathematics","Faculty of Sciences and Information Technology","Mathematics","Intermediate Algebra","Intermediate algebra with roots, radicals, and complex numbers","algebra;roots;radicals;complex numbers;systems","English","2023","books/Intermediate_Algebra_2e.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/intermediate-algebra-2e_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Prealgebra 2e","OpenStax","Mathematics","Faculty of Sciences and Information Technology","Mathematics","Prealgebra","Foundational mathematics covering arithmetic and basic algebra","arithmetic;fractions;decimals;basic algebra;operations","English","2023","books/Prealgebra_2e.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/prealgebra-2e_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Principles of Economics (Fetter)","Frank A. Fetter","Economics","Faculty of Economics, Social Sciences and Management","Economics","Economic Theory","Classical economics work covering value, distribution, and economic principles","economics;theory;value;distribution;classical","English","1904","books/Principles_Economics_Fetter.txt","https://www.gutenberg.org/files/40077/40077-0.txt","Public Domain","https://www.gutenberg.org/about/license","verified"
"The Wealth of Nations","Adam Smith","Economics","Faculty of Economics, Social Sciences and Management","Economics","Economic Theory","Foundational economic text on free markets, labor, and capital","economics;markets;labor;capital;trade","English","1776","books/Wealth_of_Nations_Smith.txt","https://www.gutenberg.org/ebooks/3825.txt.utf-8","Public Domain","https://www.gutenberg.org/about/license","verified"
"Progress and Poverty","Henry George","Economics","Faculty of Economics, Social Sciences and Management","Economics","Political Economy","Analysis of poverty and economic progress with focus on land value","economics;poverty;land;progress;distribution","English","1879","books/Progress_and_Poverty_George.txt","https://www.gutenberg.org/ebooks/3546.txt.utf-8","Public Domain","https://www.gutenberg.org/about/license","verified"
"Principles of Political Economy","John Stuart Mill","Economics","Faculty of Economics, Social Sciences and Management","Economics","Economic Theory","Comprehensive political economy covering production, distribution, and exchange","economics;political economy;production;distribution;markets","English","1848","books/Principles_Political_Economy_Mill.txt","https://www.gutenberg.org/ebooks/30107.txt.utf-8","Public Domain","https://www.gutenberg.org/about/license","verified"
"Business Ethics","OpenStax Contributors","Business","Faculty of Economics, Social Sciences and Management","Enterprises Management","Business Ethics","OpenStax textbook covering ethical decision-making and responsibility in business.","business ethics;management;corporate responsibility;decision making","English","2022","books/Business_Ethics.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/business-ethics_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Introduction to Engineering","Mohammad Bechara","Engineering","Faculty of Engineering and Technology","Engineering","Introduction to Engineering","Introduction to engineering disciplines, practices, and problem solving","engineering;design;disciplines;profession;problem solving","English","2020","books/Introduction_Engineering.pdf","https://eng.libretexts.org/@api/deki/pages/89749/pdf/Introduction%2bto%2bEngineering%2b(Bechara).pdf","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/","verified"
"Engineering Statics","Jacob Moore","Engineering","Faculty of Engineering and Technology","Civil Engineering","Engineering Statics","Interactive statics textbook covering forces, equilibrium, and structural analysis","statics;forces;equilibrium;structures;analysis","English","2020","books/Engineering_Statics.pdf","https://engineeringstatics.org/pdf/statics.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Health Education: Theoretical Concepts and Strategies","WHO","Health Sciences","Faculty of Health Sciences","Public Health","Health Education","WHO resource on health education theory and effective strategies","health education;promotion;literacy;pedagogy;strategies","English","2012","books/Health_Education_WHO.pdf","https://iris.who.int/bitstreams/32fcd7fd-cb15-4e8f-9806-b08191ddfd04/download","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"School Health Education to Prevent AIDS and STD","WHO","Health Sciences","Faculty of Health Sciences","Public Health","Disease Prevention and Health Education","WHO guide for school-based health education on disease prevention","health education;disease prevention;adolescent;sexuality;public health","English","1994","books/School_Health_AIDS_STD.pdf","https://applications.emro.who.int/aiecf/WHO_GPA_TCO_PRV_94_6c_en.pdf","Public Domain","https://www.who.int/","verified"
"A Practical Guide for Health Researchers","WHO","Health Sciences","Faculty of Health Sciences","Public Health","Research Methods","WHO guide for conducting health research with ethical standards","health research;methods;ethics;evaluation;planning","English","2006","books/Practical_Guide_Health_Researchers.pdf","https://applications.emro.who.int/dsaf/dsa237.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Primary Health Care: Closing the Gap","WHO","Health Sciences","Faculty of Health Sciences","Public Health","Health Systems","WHO vision for primary health care and health system strengthening","primary health care;public health;systems;access;equity","English","2017","books/Primary_Health_Care_Gap.pdf","https://www.who.int/docs/default-source/primary-health-care-conference/public-health.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Nursing Fundamentals 2e","OpenStax","Health Sciences","Faculty of Health Sciences","Nursing","Nursing Fundamentals","Core nursing concepts including patient care, communication, and assessment skills","nursing;patient care;communication;assessment;fundamentals","English","2021","books/Nursing_Fundamentals_2e.pdf","https://wtcs.pressbooks.pub/nursingfundamentals/open/download?type=pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Introduction to Anthropology","OpenStax Contributors","Social Sciences","Faculty of Economics, Social Sciences and Management","Applied Economics","Anthropology","OpenStax textbook introducing cultural, biological, linguistic, and archaeological anthropology.","anthropology;culture;society;social sciences","English","2022","books/Introduction_to_Anthropology.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/IntroductiontoAnthropology-WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Writing Guide with Handbook","OpenStax","Education","Faculty of Education","English","Academic Writing","Comprehensive guide to writing and handbook for students","writing;grammar;composition;rhetoric;handbook","English","2022","books/Writing_Guide_Handbook.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/WritingGuide-WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Contemporary Mathematics","OpenStax Contributors","Mathematics","Faculty of Sciences and Information Technology","Statistics Applied to Economy","Contemporary Mathematics","OpenStax mathematics textbook focused on quantitative literacy and real-world applications.","mathematics;quantitative literacy;applications;problem solving","English","2023","books/Contemporary_Mathematics.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/contemporary-mathematics_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Organizational Behavior","OpenStax","Business","Faculty of Economics, Social Sciences and Management","Business Administration","Organizational Behavior","Study of organizations and human behavior in workplace settings","organizational behavior;management;leadership;culture;groups","English","2022","books/Organizational_Behavior.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/organizational-behavior_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Microbiology","OpenStax","Biology","Faculty of Health Sciences","Nursing","General Microbiology","Introduction to microbiology covering bacteria, viruses, and parasites","microbiology;bacteria;viruses;parasites;immunity;disease","English","2022","books/Microbiology.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/microbiology_-_WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
"Concepts of Biology","OpenStax","Biology","Faculty of Sciences and Information Technology","Biology","General Biology","One-semester biology textbook for majors covering cells through ecology","biology;cells;genetics;evolution;ecology;photosynthesis","English","2022","books/Concepts_Biology.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/ConceptsofBiology-WEB.pdf","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","verified"
