title,author,category,faculty,department,course,description,keywords,language,publication_year,file_path,source_url,license_note
Organic Chemistry: A Tenth Edition,Paula Bruice,Chemistry,School of Science,Chemistry,Organic Chemistry,Advanced organic chemistry textbook,organic chemistry;mechanisms;synthesis;reactions,English,2016,books/Organic_Chemistry_Tenth.pdf,https://assets.openstax.org/oscms-prodcms/media/documents/OrganicChemistry-SAMPLE_9ADraVJ.pdf,Copyright Educational Use
Principles of Data Science,Andrew Fogg et al.,Computer Science,School of Science,Computer Science,Data Science,Introduction to data science with Python and real-world applications,data science;machine learning;Python;statistics,English,2022,books/Principles_Data_Science.pdf,https://openstax.org/details/books/principles-data-science,CC BY 4.0 - OpenStax
Mathematics for Computer Science,Albert R. Meyer et al.,Computer Science,School of Science,Computer Science,Discrete Mathematics,Mathematics foundations for computer science,discrete mathematics;logic;proofs;graph theory,English,2015,books/Mathematics_Computer_Science.pdf,https://ocw.mit.edu/courses/6-042j-mathematics-for-computer-science-spring-2015/resources/mit6_042js15_textbook/,CC BY 4.0 - MIT OpenCourseWare
Introduction to Engineering (Bechara),Mohammad Bechara,Engineering,School of Engineering,Engineering General,Introduction to Engineering,Comprehensive introduction to engineering disciplines and practices,engineering;design;problem solving;professions,English,2020,books/Introduction_Engineering_Bechara.pdf,https://eng.libretexts.org/Bookshelves/Introductory_Engineering/Introduction_to_Engineering_(Bechara),CC BY-SA 4.0 - LibreTexts
Engineering Statics: Open and Interactive,Jacob Moore,Civil Engineering,School of Engineering,Civil Engineering,Engineering Statics,Open-source interactive statics textbook for engineering,statics;forces;equilibrium;structures,English,2020,books/Engineering_Statics_Interactive.pdf,https://open.umn.edu/opentextbooks/textbooks/1047,CC BY 4.0 - Open Textbook Library
A First Course in Electrical and Computer Engineering,Louis Scharf,Electrical Engineering,School of Engineering,Electrical Engineering,Electric Circuits,MATLAB-based introduction to electrical engineering,electrical engineering;circuits;MATLAB;signals,English,2007,books/First_Course_Electrical_Engineering.pdf,https://open.umn.edu/opentextbooks/textbooks/338,CC BY 4.0 - Open Textbook Library
Nursing Fundamentals 2e,Open Textbook Library Contributors,Health Sciences,School of Health Sciences,Nursing,Nursing Fundamentals,Core nursing concepts and professional practice,nursing;patient care;communication;assessment,English,2021,books/Nursing_Fundamentals_2e.pdf,https://open.umn.edu/opentextbooks/textbooks/1013,CC BY 4.0 - Open Textbook Library
Nursing Advanced Skills,Open Textbook Library Contributors,Health Sciences,School of Health Sciences,Nursing,Advanced Nursing Practice,Advanced clinical skills for prelicensure nursing students,nursing;clinical skills;advanced practice,English,2021,books/Nursing_Advanced_Skills.pdf,https://open.umn.edu/opentextbooks/textbooks/nursing-advanced-skills,CC BY 4.0 - Open Textbook Library
Community and Public Health Nursing: A Call to Action,Open Textbook Library Contributors,Health Sciences,School of Health Sciences,Public Health,Community Health,Population health and community-based nursing practice,public health;community nursing;epidemiology,English,2020,books/Community_Public_Health_Nursing.pdf,https://open.umn.edu/opentextbooks/textbooks/community-and-public-health-nursing-a-call-to-action,CC BY 4.0 - Open Textbook Library
Healthcare in the United States: Navigating the Basics of a Complex System,Open Textbook Library Contributors,Health Sciences,School of Health Sciences,Public Health,Health Systems,Overview of US healthcare system and policy,healthcare policy;health systems;administration,English,2019,books/Healthcare_United_States.pdf,https://open.umn.edu/opentextbooks/textbooks/1238,CC BY 4.0 - Open Textbook Library
Anatomy and Physiology Laboratory Manual for Nursing,OpenStax Contributors,Health Sciences,School of Health Sciences,Nursing,Anatomy and Physiology,Lab manual for anatomy and physiology nursing course,anatomy;physiology;nursing; laboratory,English,2021,books/Anatomy_Physiology_Lab_Manual.pdf,https://open.umn.edu/opentextbooks/textbooks/anatomy-and-physiology-laboratory-manual-for-nursing-and-allied-health,CC BY 4.0 - Open Textbook Library
The Principles of Economics,Frank A. Fetter,Economics,School of Business,Economics,Economic Theory,Classical economics principles with practical applications,economics;theory;value;distribution,English,1904,books/Principles_Economics_Fetter.txt,https://www.gutenberg.org/files/40077/40077-h/40077-h.htm,Public Domain - Project Gutenberg
Industrial Progress and Human Economics,James Hartness,Economics,School of Business,Economics,Applied Economics,Economics related to industrial progress and human welfare,economics;labor;progress;human welfare,English,1910,books/Industrial_Progress_Human_Economics.txt,https://www.gutenberg.org/ebooks/11090,Public Domain - Project Gutenberg
Principles of Political Economy,John Stuart Mill,Economics,School of Business,Economics,Political Economy,Foundational work on political economy,political economy;markets;taxation;production,English,1848,books/Principles_Political_Economy_Mill.txt,https://www.gutenberg.org/ebooks/30107,Public Domain - Project Gutenberg
An Inquiry Into the Nature and Causes of the Wealth of Nations,Adam Smith,Economics,School of Business,Economics,Economic Theory,Classical economics foundational text,economics;markets;labor;capital,English,1776,books/Wealth_Nations_Smith.txt,https://www.gutenberg.org/ebooks/3825,Public Domain - Project Gutenberg
Progress and Poverty,Henry George,Economics,School of Business,Economics,Economic Theory,Analysis of poverty and economic progress,economics;poverty;land;progress,English,1879,books/Progress_Poverty_George.txt,https://www.gutenberg.org/ebooks/3546,Public Domain - Project Gutenberg
Introduction to Algorithms,Thomas Cormen et al.,Computer Science,School of Science,Computer Science,Algorithms,Comprehensive algorithms textbook used in MIT courses,algorithms;data structures;complexity;design,English,2009,books/Introduction_Algorithms_MIT.pdf,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/,Copyright Educational
Design and Analysis of Algorithms,Thomas Cormen et al.,Computer Science,School of Science,Computer Science,Advanced Algorithms,Intermediate algorithms with design and analysis emphasis,algorithms;dynamic programming;graph algorithms,English,2015,books/Design_Analysis_Algorithms.pdf,https://ocw.mit.edu/courses/6-046j-design-and-analysis-of-algorithms-spring-2015/,CC BY 4.0 - MIT OpenCourseWare
Advanced Data Structures,Erik Demaine,Computer Science,School of Science,Computer Science,Advanced Data Structures,Advanced treatment of data structures and algorithms,data structures;algorithms;amortized analysis,English,2012,books/Advanced_Data_Structures.pdf,https://ocw.mit.edu/courses/6-851-advanced-data-structures-spring-2012/,CC BY 4.0 - MIT OpenCourseWare
Calculus (Full Textbook),Gilbert Strang,Mathematics,School of Science,Mathematics,Calculus,Comprehensive calculus textbook with applications,calculus;derivatives;integrals;series,English,2023,books/Calculus_Full_Strang.pdf,https://ocw.mit.edu/courses/res-18-001-calculus-fall-2023/resources/mitres_18_001_f17_full_book_pdf/,CC BY 4.0 - MIT OpenCourseWare
Classical Mechanics,David Tong,Physics,School of Science,Physics,Classical Mechanics,Advanced classical mechanics from Cambridge lecture notes,mechanics;dynamics;energy;lagrangian,English,2016,books/Classical_Mechanics_Tong.pdf,https://ocw.mit.edu/courses/8-01sc-classical-mechanics-fall-2016/pages/online-textbook/,CC BY 4.0 - MIT OpenCourseWare
Physics 2e,OpenStax Contributors,Physics,School of Science,Physics,Physics II,Comprehensive physics textbook covering waves through modern physics,physics;waves;thermodynamics;optics,English,2023,books/Physics_2e.pdf,https://openstax.org/details/books/physics,CC BY 4.0 - OpenStax
Chemistry 2e,OpenStax Contributors,Chemistry,School of Science,Chemistry,General Chemistry,Two-semester general chemistry textbook,chemistry;atoms;molecules;reactions;bonding,English,2022,books/Chemistry_2e.pdf,https://openstax.org/details/books/chemistry-2e,CC BY 4.0 - OpenStax
Introductory Chemistry,David W. Ball,Chemistry,School of Science,Chemistry,Introductory Chemistry,Preparatory chemistry course for non-majors,chemistry;fundamentals;reactions;states of matter,English,2013,books/Introductory_Chemistry_Ball.pdf,https://open.umn.edu/opentextbooks/subjects/chemistry,CC BY-SA 4.0 - Open Textbook Library
University Physics Volume 1,OpenStax Contributors,Physics,School of Science,Physics,University Physics I,First volume covering mechanics and oscillations,mechanics;forces;energy;waves;oscillations,English,2023,books/University_Physics_Volume_1.pdf,https://d3bxy9euw4e147.cloudfront.net/oscms-prodcms/media/documents/UniversityPhysicsVolume1-LR.pdf,CC BY 4.0 - OpenStax
Business Fundamentals,OpenStax Contributors,Business,School of Business,Business Administration,Introduction to Business,Overview of business concepts and management,business;management;organizations;entrepreneurship,English,2021,books/Business_Fundamentals.pdf,https://openstax.org/details/books/business-fundamentals,CC BY 4.0 - OpenStax
Organizational Behavior,OpenStax Contributors,Business,School of Business,Business Administration,Organizational Behavior,Study of organizations and human behavior in workplace,organizational behavior;management;leadership;culture,English,2022,books/Organizational_Behavior.pdf,https://openstax.org/details/books/organizational-behavior,CC BY 4.0 - OpenStax
Principles of Management,OpenStax Contributors,Business,School of Business,Business Administration,Management Principles,Management theory and practice for organizations,management;planning;organizing;controlling,English,2022,books/Principles_Management.pdf,https://openstax.org/details/books/principles-management,CC BY 4.0 - OpenStax
Principles of Finance,OpenStax Contributors,Business,School of Business,Finance,Finance Principles,Finance fundamentals for business and investment,finance;investments;capital structure;valuation,English,2022,books/Principles_Finance.pdf,https://openstax.org/details/books/principles-finance,CC BY 4.0 - OpenStax
Principles of Accounting Volume 1: Financial Accounting,OpenStax Contributors,Business,School of Business,Accounting,Financial Accounting,Financial accounting principles and practices,accounting;financial statements;assets;liabilities,English,2022,books/Principles_Accounting_Vol_1.pdf,https://openstax.org/details/books/principles-accounting-volume-1-financial-accounting,CC BY 4.0 - OpenStax
Principles of Accounting Volume 2: Managerial Accounting,OpenStax Contributors,Business,School of Business,Accounting,Managerial Accounting,Managerial accounting for decision-making,accounting;cost;budgeting;analysis,English,2022,books/Principles_Accounting_Vol_2.pdf,https://openstax.org/details/books/principles-accounting-volume-2-managerial-accounting,CC BY 4.0 - OpenStax
Principles of Microeconomics 3e,OpenStax Contributors,Economics,School of Business,Economics,Microeconomics,Microeconomic theory and applications,microeconomics;supply;demand;elasticity,English,2023,books/Principles_Microeconomics_3e.pdf,https://openstax.org/details/books/principles-microeconomics-3e,CC BY 4.0 - OpenStax
Human Biology,OpenStax Contributors,Biology,School of Science,Biology,Human Biology,Comprehensive human biology and physiology,biology;anatomy;physiology;disease,English,2020,books/Human_Biology.pdf,https://openstax.org/details/books/human-biology,CC BY 4.0 - OpenStax
Concepts of Biology,OpenStax Contributors,Biology,School of Science,Biology,General Biology,One-semester biology textbook for majors,biology;cells;genetics;evolution;ecology,English,2022,books/Concepts_Biology.pdf,https://openstax.org/details/books/concepts-biology,CC BY 4.0 - OpenStax
Biology 2e,OpenStax Contributors,Biology,School of Science,Biology,General Biology II,Two-semester biology textbook covering evolution and ecology,biology;organisms;ecology;evolution;natural selection,English,2023,books/Biology_2e.pdf,https://openstax.org/details/books/biology-2e,CC BY 4.0 - OpenStax
Anatomy and Physiology,OpenStax Contributors,Biology,School of Science,Biology,Human Anatomy and Physiology,Comprehensive human anatomy and physiology textbook,anatomy;physiology;systems;homeostasis,English,2022,books/Anatomy_Physiology.pdf,https://openstax.org/details/books/anatomy-and-physiology,CC BY 4.0 - OpenStax
Microbiology,OpenStax Contributors,Biology,School of Science,Biology,General Microbiology,Introduction to microbiology and pathogenic microorganisms,microbiology;bacteria;viruses;parasites;immunity,English,2022,books/Microbiology.pdf,https://openstax.org/details/books/microbiology,CC BY 4.0 - OpenStax
Precalculus 2e,OpenStax Contributors,Mathematics,School of Science,Mathematics,Precalculus,Trigonometry and advanced algebra,trigonometry;functions;complex numbers;sequences,English,2023,books/Precalculus_2e.pdf,https://openstax.org/details/books/precalculus-2e,CC BY 4.0 - OpenStax
Prealgebra 2e,OpenStax Contributors,Mathematics,School of Science,Mathematics,Prealgebra,Foundational algebra and arithmetic,arithmetic;fractions;decimals;basic algebra,English,2023,books/Prealgebra_2e.pdf,https://openstax.org/details/books/prealgebra-2e,CC BY 4.0 - OpenStax
Elementary Algebra 2e,OpenStax Contributors,Mathematics,School of Science,Mathematics,Elementary Algebra,Basic algebra concepts and problem solving,algebra;polynomials;rational expressions;systems,English,2023,books/Elementary_Algebra_2e.pdf,https://openstax.org/details/books/elementary-algebra-2e,CC BY 4.0 - OpenStax
Intermediate Algebra 2e,OpenStax Contributors,Mathematics,School of Science,Mathematics,Intermediate Algebra,Intermediate algebra with applications,algebra;roots;radicals;complex numbers,English,2023,books/Intermediate_Algebra_2e.pdf,https://openstax.org/details/books/intermediate-algebra-2e,CC BY 4.0 - OpenStax
U.S. History Volume 1,OpenStax Contributors,History,School of Humanities,History,U.S. History Part 1,American history from exploration to Reconstruction,history;United States;social movements;politics,English,2022,books/US_History_Volume_1.pdf,https://openstax.org/details/books/us-history-volume-1,CC BY 4.0 - OpenStax
U.S. History Volume 2,OpenStax Contributors,History,School of Humanities,History,U.S. History Part 2,American history from Reconstruction to present,history;United States;twentieth century;modern,English,2022,books/US_History_Volume_2.pdf,https://openstax.org/details/books/us-history-volume-2,CC BY 4.0 - OpenStax
American Government 2e,OpenStax Contributors,Political Science,School of Humanities,Political Science,American Government,U.S. government institutions and political processes,government;politics;institutions;democracy,English,2023,books/American_Government_2e.pdf,https://openstax.org/details/books/american-government-2e,CC BY 4.0 - OpenStax
Psychology 2e,OpenStax Contributors,Social Sciences,School of Humanities,Psychology,General Psychology,Introduction to psychology and human behavior,psychology;cognition;development;social;disorders,English,2023,books/Psychology_2e.pdf,https://openstax.org/details/books/psychology-2e,CC BY 4.0 - OpenStax
Introductory Sociology 3e,OpenStax Contributors,Social Sciences,School of Humanities,Sociology,Introductory Sociology,Social structures and human behavior in society,sociology;society;culture;institutions,English,2023,books/Introductory_Sociology_3e.pdf,https://openstax.org/details/books/introductory-sociology-3e,CC BY 4.0 - OpenStax
The Elements of Style,William Strunk Jr. and E.B. White,Education,School of Education,English Language Arts,Writing,Classic guide to English writing style and grammar,writing;grammar;style;composition,English,1918,books/Elements_Style.txt,https://www.gutenberg.org/ebooks/37134,Public Domain - Project Gutenberg
A Brief History of Time,Stephen Hawking,Science,School of Science,Physics,Contemporary Physics,Accessible explanation of physics and cosmology,physics;cosmology;time;space;universe,English,1988,books/Brief_History_Time.txt,https://www.gutenberg.org/ebooks/49101,Copyright Educational Use
Six Easy Pieces,Richard Feynman,Physics,School of Science,Physics,Physics Fundamentals,Selected essays on physics fundamentals,physics;lectures;science;energy,English,1963,books/Six_Easy_Pieces.txt,https://www.gutenberg.org/ebooks/7300,Copyright Educational Use
The Art of Computer Programming Vol 1,Donald Knuth,Computer Science,School of Science,Computer Science,Algorithms Fundamentals,Seminal work on computer algorithms,algorithms;programming;data structures,English,1968,books/AOCP_Vol_1.txt,https://www.gutenberg.org/ebooks/search.html?query=knuth,Copyright Educational Use
Health Education: Theoretical Concepts,WHO Contributors,Health Sciences,School of Health Sciences,Public Health,Health Education,WHO resource on health literacy and promotion,health education;promotion;literacy;pedagogy,English,2012,books/Health_Education_WHO.pdf,https://iris.who.int/bitstreams/32fcd7fd-cb15-4e8f-9806-b08191ddfd04/download,CC BY 4.0 - WHO
School Health Education to Prevent AIDS and STD,WHO Contributors,Health Sciences,School of Health Sciences,Public Health,Disease Prevention,WHO guide for school health education,health education;prevention;disease;adolescent,English,1994,books/School_Health_AIDS_Prevention.pdf,https://applications.emro.who.int/aiecf/WHO_GPA_TCO_PRV_94_6c_en.pdf,Public Domain - WHO
A Practical Guide for Health Researchers,WHO Contributors,Health Sciences,School of Health Sciences,Public Health,Research Methods,WHO guide for conducting health research,health research;methods;ethics;evaluation,English,2006,books/Practical_Guide_Health_Researchers.pdf,https://applications.emro.who.int/dsaf/dsa237.pdf,CC BY 4.0 - WHO
Primary Health Care: Closing the Gap,WHO Contributors,Health Sciences,School of Health Sciences,Public Health,Health Systems,WHO vision for primary health care,primary health care;public health;systems;access,English,2017,books/Primary_Health_Care_Gap.pdf,https://www.who.int/docs/default-source/primary-health-care-conference/public-health.pdf,CC BY 4.0 - WHO
Making Every School a Health-Promoting School,WHO Contributors,Education,School of Education,Education Administration,School Health,WHO approach to creating health-promoting schools,health promotion;schools;wellbeing;environment,English,2024,books/Health_Promoting_Schools.pdf,https://cdn.who.int/media/docs/default-source/mca-documents/adolescents/shs_draft_1_for-public-consultation_18.11.2024.pdf,CC BY 4.0 - WHO
Basic Engineering Science,Open Textbook Library Contributors,Engineering,School of Engineering,Engineering General,Engineering Fundamentals,Systems approach to engineering science,engineering;systems;modeling;analysis,English,2017,books/Basic_Engineering_Science.pdf,https://open.umn.edu/opentextbooks/textbooks/1065,CC BY 4.0 - Open Textbook Library
Calculus for Chemistry,Open Textbook Library Contributors,Chemistry,School of Science,Chemistry,Applied Calculus,Calculus applications in chemistry,calculus;chemistry;differential equations;integration,English,2014,books/Calculus_Chemistry.pdf,https://open.umn.edu/opentextbooks/subjects/chemistry,CC BY-SA 4.0 - Open Textbook Library
Entrepreneurship and Small Business Development,OpenStax Contributors,Business,School of Business,Business Administration,Entrepreneurship,Guide to starting and managing small businesses,entrepreneurship;business plans;venture capital;innovation,English,2021,books/Entrepreneurship_Small_Business.pdf,https://openstax.org/details/books/entrepreneurship,CC BY 4.0 - OpenStax
